#id: 3616268379
#name: E.coli str. K-12 substr. MG1655 - Whole organism (Integrated)
#score: 19.7
#coverage: 99
#description: integrated dataset: weighted average of all E.coli str. K-12 substr. MG1655 WHOLE_ORGANISM: 19.7, Coverage: 99
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Escherichia_coli_SC_biomart_29780_E_BTO0000214cellculture_2reps:0.174;ecoli2_resolutionCombination_PRIDE:0.174;ecoli1_HCD_CID_PRIDE:0.077;E_coli_Wisniewski_2014_cpc:0.071;Escherichia_coli_SC_biomart_18119_E__5reps:0.061;Ecoli_Krug_2013:0.054;Ecoli_emPAI_arike_2012:0.054;Ecoli_APEX_arike_2012:0.052;WT-lewis-peptide_count:0.05;Taniguchi_2010_Table_S6:0.048;511145_GPM_201408:0.04;Escherichia_coli_SC_biomart_17112_E__2reps:0.031;Ecoli_Krug_2013_emPAI:0.029;PXD020761_Midha_Sci_Data_2020_Ecoli_DIA-SWATH:0.026;Lu_ecoli_2007:0.02;Ecoli_strainK12_PRIDE:0.017;Ecoli_iBAQ_arike_2012:0.013;Escherichia_coli_SC_biomart_12189_E__2reps:0.01;
#publication_year: 2025
#filename: 511145-WHOLE_ORGANISM-integrated.txt
#
#gene_name	string_external_id	abundance
lptB	511145.b3201	244
amtB	511145.b0451	243
azoR	511145.b1412	243
glpA	511145.b2241	243
dnaJ	511145.b0015	242
lysC	511145.b4024	242
gabT	511145.b2662	242
nuoF	511145.b2284	242
curA	511145.b1449	242
secG	511145.b3175	241
yjdC	511145.b4135	241
gpt	511145.b0238	240
entC	511145.b0593	240
rfbB	511145.b2041	240
ibpB	511145.b3686	239
polA	511145.b3863	236
thiD	511145.b2103	235
glnK	511145.b0450	234
ydcF	511145.b1414	234
rhlB	511145.b3780	233
entA	511145.b0596	232
bamD	511145.b2595	231
yfcE	511145.b2300	230
nusB	511145.b0416	230
pfkB	511145.b1723	229
feoB	511145.b3409	229
rnr	511145.b4179	229
yheO	511145.b3346	229
efeO	511145.b1018	228
hisI	511145.b2026	228
osmF	511145.b2131	227
der	511145.b2511	227
tsx	511145.b0411	226
aroK	511145.b3390	226
ucpA	511145.b2426	225
mtlA	511145.b3599	225
yrdA	511145.b3279	225
glk	511145.b2388	224
nuoI	511145.b2281	224
metB	511145.b3939	224
fadB	511145.b3846	223
cysN	511145.b2751	222
cstA	511145.b0598	221
ghrA	511145.b1033	221
rpoS	511145.b2741	221
seqA	511145.b0687	221
pdxJ	511145.b2564	220
entF	511145.b0586	219
rdgB	511145.b2954	219
artP	511145.b0864	217
yejL	511145.b2187	217
deoA	511145.b4382	216
ygaM	511145.b2672	216
ygfB	511145.b2909	216
yfeX	511145.b2431	215
secY	511145.b3300	215
kdsB	511145.b0918	215
rnb	511145.b1286	214
uspD	511145.b3923	214
araF	511145.b1901	214
argB	511145.b3959	214
mgsA	511145.b0963	213
yedF	511145.b1930	212
murA	511145.b3189	211
yhfA	511145.b3356	210
